S.No, Part Number, Manufacturer, Reference designator, Part Value, Qty, In Stock, SKU, Price, Total Price, Product Url,Seller
1,"RC0603JR-0710KL",Yageo,"r1,r7,r8,r9,r10,r20,r21,r26",10000 ohm, 8, 8603, 2879583, 0.00240, 0.0192, https://octopart.com/click/track?country=IN&ak=17001198&sig=0922bfb&sid=2454&ppid=1160844&vpid=19679401&ct=offers, Future Electronics
2,"RC0603JR-071KL",Yageo,"r2",1000 ohm, 1, 5774, RC0603JR-071KL, 0.00170, 0.0017, https://octopart.com/click/track?country=IN&ak=17001198&sig=0eb00c7&sid=13811&ppid=55402888&vpid=189264391&ct=offers, Area51
3,"RC0603JR-07910RL",Yageo,"r3",910 ohm, 1, 50, C1S900100949831, 0.04390, 0.0439, https://octopart.com/click/track?country=IN&ak=17001198&sig=0c34cf3&sid=13512&ppid=1162648&vpid=281203337&ct=offers, Chip One Stop Japan
4,"RC0603JR-074K7L",Yageo,"r4",4700 ohm, 1, 29513, RC0603JR-074K7L, 0.01500, 0.015, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e0dcd2&sid=2412&ppid=55458509&vpid=195934255&ct=offers, Quest
5,"RC0603JR-072K2L",Yageo,"r5,r6,r19",2200 ohm, 3, 55853, 98K7303, 0.00100, 0.003, https://octopart.com/click/track?country=IN&ak=17001198&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers, Newark
6,"STM32L486ZGT6",ST Micro,"u1",STM32L486ZGT6 , 1, 218, STM32L486ZGT6, 7.61700, 7.617, https://octopart.com/click/track?country=IN&ak=17001198&sig=0ebca7e&sid=1106&ppid=55597074&vpid=213567009&ct=offers, Arrow
7,"c0603c105k3ractu",Kemet,"c1,c19,c23,c24,c25,c26,c27,c28,c29,c34",1.0E-6 F, 10, 143, C0603C105K3RACTU**MULT1, 0.20540, 2.054, https://octopart.com/click/track?country=IN&ak=17001198&sig=0f39295&sid=1106&ppid=22544255&vpid=52749042&ct=offers, Arrow
8,"06035C104K4Z2A",Avx,"c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c15,c16,c17",1.0E-7 F, 15, 500, 478-6344-1-ND, 0.12000, 1.8, https://octopart.com/click/track?country=IN&ak=17001198&sig=0b34802&sid=459&ppid=18078370&vpid=34764829&ct=offers, Digi-Key
9,"GRM188R6YA475KE15D",Murata,"c14",4.7E-6 F, 1, 976213, 490-7205-1-ND, 0.37000, 0.37, https://octopart.com/click/track?country=IN&ak=17001198&sig=09b8009&sid=459&ppid=26982329&vpid=68513476&ct=offers, Digi-Key
10,"06035C103K4Z2A",Avx,"c18",1.0E-8 F, 1, 54256, 581-06035C103K4Z2A, 0.22000, 0.22, https://octopart.com/click/track?country=IN&ak=17001198&sig=097f17b&sid=2401&ppid=9079594&vpid=37780132&ct=offers, Mouser
11,"C0402C100K3GACTU",Kemet,"c20,c21",1.0E-11 F, 2, 12, C0402C100K3GACTU**MULT1, 0.22170, 0.4434, https://octopart.com/click/track?country=IN&ak=17001198&sig=0802a75&sid=1106&ppid=9143701&vpid=274027547&ct=offers, Arrow
12,"24AA64T-I/MNY",Microchip,"u2",24AA64T-I/MNY , 1, 3199, 24AA64T-I/MNY**MULT1, 0.43110, 0.4311, https://octopart.com/click/track?country=IN&ak=17001198&sig=0adb926&sid=1106&ppid=17433930&vpid=260911546&ct=offers, Arrow
13,"c0402c103k3rac",Kemet,"c22,c36,c37,c47",1.0E-8 F, 4, 118031, C0402C103K3RAC, 0.04500, 0.18, https://octopart.com/click/track?country=IN&ak=17001198&sig=0e911fb&sid=2412&ppid=2222716&vpid=5041149&ct=offers, Quest
